id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1125097,Strathlyn Coach House Barossa,6172214,Heather,,Angaston,-34.49389,139.02942,Entire home/apt,254,2,166,2022-09-19,1.51,3,302,24,
1133195,Strathlyn Lemon Tree Spa  Barossa,6172214,Heather,,Penrice,-34.49403,139.03202,Entire home/apt,236,2,59,2022-09-04,0.61,3,323,14,
1133236,Strathlyn Spa Garden Suites Barossa,6172214,Heather,,Penrice,-34.49356,139.03221,Private room,260,1,49,2022-09-18,0.47,3,318,15,
1178384,Country cottage getaway,2122575,Tanya,,Nuriootpa,-34.46694,138.9936,Private room,104,1,0,,,1,335,0,
1710462,Shea-Oak Log Studio Shed,6645956,Kylie And Tom,,Shea-Oak Log,-34.51049,138.81731,Entire home/apt,102,2,497,2022-09-06,4.59,1,330,30,
1787389,Barossa Valley Apt 1 offers 2 bedrooms 2 bathroom,9380091,Kym,,Tanunda,-34.52835,138.95364,Entire home/apt,400,2,17,2020-12-04,0.21,17,50,0,
2028951,"2 bedrooms with Woodfire, Barossa Country Cottages",10421165,Mark And Fiona,,Lyndoch,-34.60374,138.88348,Entire home/apt,209,2,8,2022-09-05,1.45,2,309,8,
2327616,Gawler River Farm B and B.,6713275,Bill,,Gawler River,-34.60563,138.64823,Entire home/apt,90,1,125,2022-09-21,1.35,1,343,29,
2567051,The Miners Cottage Barossa Valley,10726293,Rebecca,,Cockatoo Valley,-34.63884,138.84564,Private room,210,2,31,2022-08-22,0.32,1,267,5,
3506622,A nice room in a big 4 b/room house,17656515,Andrew,,Buchfelde,-34.61874,138.73199,Private room,85,1,0,,,1,365,0,
5289072,Mt McKenzie Raspberry Farm,27321203,Phillip,,Flaxman Valley,-34.56405,139.07988,Entire home/apt,200,3,119,2022-08-24,1.41,1,134,20,
5426792,"""The Shed""",28149709,Andrew & Belinda,,Nuriootpa,-34.46397,139.00191,Entire home/apt,63,1,138,2022-09-11,1.66,1,219,15,
5537173,1837 Barossa Luxury  Vineyard Cottage S Australia,28712482,Nelly,,Lyndoch,-34.58347,138.86353,Entire home/apt,425,2,34,2022-09-17,0.70,3,303,11,
6157653,Barossa Barn Bed & Breakfast,31945359,Julie,,Penrice,-34.4877,139.04407,Entire home/apt,277,2,28,2022-04-19,0.32,1,80,3,
6170279,Little Para Cottage,32013001,Wendy,,Tanunda,-34.51062,138.97196,Entire home/apt,206,2,160,2022-09-11,1.77,1,6,16,
6170887,Elderton Wines Guest House,32017867,Elderton,,Nuriootpa,-34.47628,138.99761,Entire home/apt,350,1,30,2022-08-08,0.34,1,214,4,
6296823,Cosy 2-bedroom Cottage in the heart of the Barossa,32743215,Veritas Retreat Barossa,,Tanunda,-34.50314,138.95909,Entire home/apt,290,2,80,2022-09-19,0.89,2,270,11,
6861247,Rustic on 13th,35954891,Kirsten,,Buchfelde,-34.60501,138.74353,Entire home/apt,239,4,46,2022-05-05,0.63,1,152,2,
7055506,Vineyard Cottage - Under the Vines,10626104,Karen,,Nuriootpa,-34.50166,138.99752,Entire home/apt,243,2,180,2021-10-17,2.07,2,0,1,
7297171,Pembury Chase Barossa Valley,26147078,Jonathan And Kate,,Angaston,-34.50182,139.0374,Private room,95,1,150,2019-04-28,1.74,6,0,0,
8053447,Angels Place: Private Suite,42427624,Maryann,,Tanunda,-34.51719,138.96402,Private room,165,1,82,2022-04-24,1.15,1,1,11,
9264671,Barossa Idyll Studio -great for romantics,17055114,Tracey,,Tanunda,-34.52799,138.95242,Private room,146,2,27,2021-04-22,0.34,4,173,0,
9319789,"Barossa Idyll -centre of town, breathtaking views",17055114,Tracey,,Tanunda,-34.52821,138.953,Entire home/apt,757,1,80,2022-09-16,1.03,4,210,20,
9319994,"Barossa Idyll 3 beds - town centre, amazing views",17055114,Tracey,,Tanunda,-34.52935,138.95426,Entire home/apt,413,2,54,2022-09-15,0.71,4,203,17,
9453124,"Barossa Idyll 4 beds - town centre, amazing views",17055114,Tracey,,Tanunda,-34.52906,138.95436,Entire home/apt,651,1,29,2022-08-05,0.35,4,209,11,
9714178,Barossa Bed & Breakfast,50149490,Yvette,,Tanunda,-34.52206,138.96239,Entire home/apt,515,1,57,2022-09-10,0.73,1,217,25,
9850994,Pembury Homestead - Barossa Valley- 3 bedrooms,26147078,Jonathan And Kate,,Angaston,-34.49908,139.04063,Entire home/apt,120,1,7,2016-01-13,0.09,6,0,0,
10285222,Barossa Dreams Ruby Suite full kitchen in Tanunda,9380091,Kym,,Tanunda,-34.52708,138.95417,Entire home/apt,275,2,10,2020-03-18,0.12,17,4,0,
10287444,Barossa Dreams - Diamond Suite perfect location,9380091,Kym,,Tanunda,-34.52686,138.95383,Entire home/apt,350,2,16,2022-05-05,0.20,17,3,1,
10298152,Barossa Best great location walk to cafe FREE WIFI,9380091,Kym,,Tanunda,-34.52603,138.95667,Entire home/apt,350,2,31,2022-05-20,0.38,17,12,3,
10348508,A Secret Garden great location Tanunda Free WIFI,9380091,Kym,,Tanunda,-34.52729,138.95667,Entire home/apt,350,2,10,2021-05-05,0.13,17,16,0,
10526299,Historic Kapunda School of Mines Homestay,54276241,Mark,,Kapunda,-34.34222,138.91368,Entire home/apt,249,2,1,2022-07-06,0.38,1,155,1,
10619599,Barossa Dreams - Sapphire Suite,9380091,Kym,,Tanunda,-34.5274,138.9535,Entire home/apt,275,1,2,2020-11-14,0.04,17,4,0,
10634089,Barossa Dreams - Emerald Suite,9380091,Kym,,Tanunda,-34.52886,138.95293,Private room,275,2,6,2017-10-30,0.07,17,4,0,
10947532,The Stables,54950628,Kay,,Tanunda,-34.57022,138.92651,Entire home/apt,187,2,308,2022-08-21,3.83,1,248,31,
10971607,The Lodge Angaston,48092850,Robyn,,Angaston,-34.5019,139.04648,Entire home/apt,600,1,7,2018-04-01,0.09,3,362,0,
11380095,Little House in the Barossa,59672772,John And Bianca,,Nuriootpa,-34.46257,139.00982,Entire home/apt,170,3,44,2021-06-27,0.55,1,0,0,
11428035,Tin House in Tanunda offers 3 bedrooms 2 bathrooms,9380091,Kym,,Tanunda,-34.52386,138.95783,Entire home/apt,500,2,39,2022-01-03,0.49,17,269,1,
11857399,Historic Angaston Masonic Lodge,48092850,Robyn,,Angaston,-34.50184,139.04554,Entire home/apt,650,2,93,2021-10-30,1.26,3,362,1,
11915715,The Cottage at Riverside Farm,308444810,Louise,,Lyndoch,-34.57135,138.89655,Entire home/apt,269,2,36,2022-09-20,0.47,2,279,5,
12191413,Barossa Millhouse,65531648,Jacqueline,,Kapunda,-34.33806,138.91284,Entire home/apt,239,2,7,2022-07-14,0.10,2,322,5,
12192423,A Barn in the Barossa,65531648,Jacqueline,,Kapunda,-34.34313,138.92219,Entire home/apt,250,2,84,2022-08-29,1.08,2,330,16,
12460712,'THE CHURCH' Guest Home Gawler/Barossa Region,67427615,Karen,,Hewett,-34.58739,138.74417,Entire home/apt,228,2,46,2022-07-10,0.63,1,160,6,
12856765,Angaston by the Winter Creek,48092850,Robyn,,Angaston,-34.50152,139.04956,Entire home/apt,750,2,150,2022-07-25,1.95,3,340,10,
12906285,Retro Barossa Style,22786354,Rebekah,,Angaston,-34.50898,139.04504,Entire home/apt,157,2,161,2022-09-03,2.39,1,258,31,
14031240,Barossa Vineyard Cottages,2425103,Sandra,,Bethany,-34.53891,138.97053,Hotel room,330,999,21,2022-06-26,0.29,2,80,6,
14080027,Barossa Glen - Henri's Cottage - Bed and Breakfast,84633251,Henri,,Sandy Creek,-34.5818,138.83223,Entire home/apt,290,2,119,2022-09-16,1.81,2,313,33,
14377105,Lambert Estate Retreat,88244555,James,,Angaston,-34.50782,139.03909,Entire home/apt,280,1,29,2022-08-28,0.39,1,300,6,
14697430,"Lemke Cottage,Moculta, Barossa Valley",34978411,John,,Moculta,-34.46621,139.1186,Entire home/apt,210,2,51,2022-09-10,1.05,1,213,6,
14827811,Barossa Valley Apt 4 offers 2 bedrooms 2 bathroom,9380091,Kym,,Tanunda,-34.52814,138.95356,Entire home/apt,400,1,4,2022-08-21,0.09,17,54,2,
14828790,Luxury Affordable Barossa. West Wing 1 Bedroom.,6402384,Alicia,,Angaston,-34.50053,139.04458,Entire home/apt,327,2,21,2022-04-10,0.29,2,116,1,
14842846,Barossa Valley Apt 3 offers 2 bedrooms 2 bathroom,9380091,Kym,,Tanunda,-34.52702,138.95253,Entire home/apt,379,1,0,,,17,58,0,
14843749,Barossa Valley Apt 2 offers 2 bedrooms 2 bathroom,9380091,Kym,,Tanunda,-34.52836,138.95221,Entire home/apt,400,2,10,2021-04-05,0.14,17,53,0,
14844379,Luxury Affordable Barossa. West Wing 2 Bedrooms.,6402384,Alicia,,Angaston,-34.49891,139.04441,Entire home/apt,497,2,4,2017-02-23,0.06,2,114,0,
14969874,Barossa Valley Dreams Home for up to 17 people,9380091,Kym,,Tanunda,-34.52914,138.9519,Entire home/apt,1414,2,19,2022-07-17,0.28,17,42,3,
15526317,The Coach House,99836662,Karen,,Concordia,-34.59442,138.74945,Entire home/apt,199,1,445,2022-09-06,6.22,2,265,92,
15579249,Casa Rossa - modern Barossa home with vineyard,14870315,Maria,,Lyndoch,-34.59863,138.87511,Entire home/apt,351,2,101,2022-08-15,1.49,1,320,31,
15811271,The Art Box home gallery stay,102130451,Anthea,,Angaston,-34.49457,139.05402,Private room,80,1,51,2021-11-13,0.96,1,0,3,
16519738,Old Mill Cottage,108616729,Yvonne And Glenn,,Kapunda,-34.33922,138.90943,Entire home/apt,200,2,85,2022-09-18,1.24,1,71,56,
16693931,"Go Go's, Eden Valley the Garden of Grapes and Gums",20429065,Karine,,Eden Valley,-34.64114,139.09734,Entire home/apt,181,2,51,2022-08-23,0.74,1,164,11,
16795559,Barossa Valley Farm Cottage - Buckbury End Farm,111640794,John & Jess,,Sandy Creek,-34.5685,138.83272,Entire home/apt,146,2,286,2022-09-12,4.23,1,278,44,
16948670,"1881 Courthouse,  Studio",33964673,Natalie,,Buchfelde,-34.59589,138.74597,Entire home/apt,153,1,270,2022-08-19,3.95,3,299,21,
17287788,"The Old Manse Shed, Barossa Valley",76253619,Tracy,,Light Pass,-34.46935,139.02272,Entire home/apt,155,2,63,2022-04-13,0.93,1,1,4,
17558728,Seppeltsfield Vineyard Cottage. Luxury & Privacy.,77871395,Jodie,,Marananga,-34.49022,138.91001,Entire home/apt,858,2,2,2021-06-13,0.12,2,263,0,
17720616,Indulge and Relax Tanunda,23229905,Cathy,,Tanunda,-34.5199,138.96494,Entire home/apt,231,1,180,2022-09-18,2.85,1,295,49,
17737018,The Stables at 1860 Wine Country Cottages,97913320,Renate,,Springton,-34.72248,139.06794,Entire home/apt,195,3,0,,,1,0,0,
17862552,"""LiebenGott"" - Luxury 4 bedroom, central location",10112369,Jason,,Tanunda,-34.51015,138.97783,Entire home/apt,331,1,117,2022-09-04,1.82,1,310,31,
17963507,"The Writer's Studio, Barossa",12063415,Lesley Ann,,Tanunda,-34.52511,138.96518,Entire home/apt,149,2,322,2022-09-19,4.85,1,134,56,
17980547,Martinsell Cottage Barossa Valley,123514866,Peter And Marijan,,Mount Crawford,-34.65127498802909,138.97806003489265,Entire home/apt,145,2,174,2022-09-18,2.64,2,297,39,
18276899,Historic home on 65 acres in top Barossa location,32743215,Veritas Retreat Barossa,,Tanunda,-34.50639,138.96237,Entire home/apt,345,2,42,2022-09-11,0.65,2,267,18,
18798879,Hill House Angaston,98267463,Mark,,Angaston,-34.50284,139.04411,Private room,150,2,58,2022-09-18,0.93,1,119,17,
19817750,Country Retreat on the edge of Barossa Valley,139798846,Maureen,,Mount Pleasant,-34.77475,139.04702,Entire home/apt,315,2,79,2022-09-12,1.29,1,91,12,
20002372,"Boongarrie Luxury Tent - privacy, luxury, nature",15326510,Kate,,Flaxman Valley,-34.61,139.06722,Entire home/apt,263,2,184,2022-09-11,3.13,1,319,66,
20057093,Miriam's Cottage self contained Bed and Breakfast,142521667,Alicia,,Tanunda,-34.51922,138.96131,Entire home/apt,292,2,116,2022-09-21,1.99,1,252,32,
20079805,Azalea Cedar-Rose Barossa Vineyard Views Villa,11110185,Suzie,,Lyndoch,-34.60384,138.89156,Entire home/apt,419,2,53,2022-09-19,0.86,2,272,11,
20144446,Jasmine's Cottage Barossa Valley Vineyard Views,11110185,Suzie,,Lyndoch,-34.60458,138.89126,Entire home/apt,311,2,56,2022-09-20,0.92,2,301,19,
